[Lv-090 Lamp] Lv-090.LAMP,3/17/2014,1:00 PM,3/17/2014,2:45 PM,Lv-090 Lamp LHalamaha,1002B
[Lv-090.Java] Lv-090.Java,6/21/2013,4:00 PM,6/21/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java + Expert,6/21/2013,6:00 PM,6/21/2013,6:45 PM,Lv-090.Java YHarasym,4131
[Lv-090.Java] Lv-090.Java,6/24/2013,2:00 PM,6/24/2013,3:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,6/25/2013,1:00 PM,6/25/2013,2:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,6/26/2013,4:00 PM,6/26/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,6/27/2013,9:00 AM,6/27/2013,10:45 AM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Presentation about SoftServe,6/27/2013,11:00 AM,6/27/2013,11:45 AM,Lv-090 Lamp Lv-090. DB Lv-090.Java Lv-091.1 MQC Lv-091.2 MQC Lv-092 UI,
[Lv-090.Java] Lv-090.Java,6/28/2013,4:00 PM,6/28/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java + Expert,6/28/2013,6:00 PM,6/28/2013,6:45 PM,Lv-090.Java YHarasym,4131
[Lv-090.Java] Lv-090.Java,7/1/2013,2:00 PM,7/1/2013,3:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/2/2013,4:00 PM,7/2/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/3/2013,4:00 PM,7/3/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/4/2013,9:00 AM,7/4/2013,10:45 AM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/5/2013,4:00 PM,7/5/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java + Expert,7/5/2013,6:00 PM,7/5/2013,6:45 PM,Lv-090.Java YHarasym,4131
[Lv-090.Java] Lv-090.Java,7/8/2013,2:00 PM,7/8/2013,3:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/9/2013,4:00 PM,7/9/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/10/2013,4:00 PM,7/10/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/11/2013,9:00 AM,7/11/2013,10:45 AM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/15/2013,2:00 PM,7/15/2013,3:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/16/2013,4:00 PM,7/16/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/17/2013,4:00 PM,7/17/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/19/2013,4:00 PM,7/19/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java + Expert,7/19/2013,6:00 PM,7/19/2013,6:45 PM,Lv-090.Java YHarasym,4131
[Lv-090.Java] Lv-090.Java,7/22/2013,2:00 PM,7/22/2013,3:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/23/2013,4:00 PM,7/23/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/24/2013,4:00 PM,7/24/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/25/2013,9:00 AM,7/25/2013,10:45 AM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/26/2013,4:00 PM,7/26/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java + Expert,7/26/2013,6:00 PM,7/26/2013,6:45 PM,Lv-090.Java YHarasym,4131
[Lv-090.Java] Lv-090.Java,7/29/2013,2:00 PM,7/29/2013,3:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/30/2013,4:00 PM,7/30/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,7/31/2013,4:00 PM,7/31/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,8/1/2013,9:00 AM,8/1/2013,10:45 AM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,8/2/2013,4:00 PM,8/2/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java + Expert,8/2/2013,6:00 PM,8/2/2013,6:45 PM,Lv-090.Java YHarasym,4131
[Lv-090.Java] Lv-090.Java,8/5/2013,2:00 PM,8/5/2013,3:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,8/6/2013,4:00 PM,8/6/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,8/7/2013,4:00 PM,8/7/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,8/8/2013,9:00 AM,8/8/2013,10:45 AM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,8/9/2013,4:00 PM,8/9/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java + Expert,8/9/2013,6:00 PM,8/9/2013,6:45 PM,Lv-090.Java YHarasym,4131
[Lv-090.Java] Lv-090.Java,8/12/2013,2:00 PM,8/12/2013,3:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,8/13/2013,4:00 PM,8/13/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,8/14/2013,4:00 PM,8/14/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,8/15/2013,9:00 AM,8/15/2013,10:45 AM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Presentation about SoftServe,8/15/2013,5:00 PM,8/15/2013,5:45 PM,Lv-090 Lamp Lv-090. DB Lv-090.Java Lv-091.1 MQC Lv-091.2 MQC Lv-092 UI,
[Lv-090.Java] Lv-090.Java,8/16/2013,4:00 PM,8/16/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java + Expert,8/16/2013,6:00 PM,8/16/2013,6:45 PM,Lv-090.Java YHarasym,4131
[Lv-090.Java] Lv-090.Java,8/19/2013,2:00 PM,8/19/2013,3:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,8/20/2013,4:00 PM,8/20/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,8/21/2013,4:00 PM,8/21/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,8/22/2013,9:00 AM,8/22/2013,10:45 AM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java,8/23/2013,4:00 PM,8/23/2013,5:45 PM,YHarasym Lv-090.Java,4131
[Lv-090.Java] Lv-090.Java + Expert,8/23/2013,6:00 PM,8/23/2013,6:45 PM,Lv-090.Java YHarasym,4131
[Lv-090.Java] Lv-090.Java,8/26/2013,2:00 PM,8/26/2013,3:45 PM,YHarasym Lv-090.Java,4131
[Lv-091.1 MQC] Presentation about SoftServe,6/27/2013,11:00 AM,6/27/2013,11:45 AM,Lv-090 Lamp Lv-090. DB Lv-090.Java Lv-091.1 MQC Lv-091.2 MQC Lv-092 UI,
[Lv-091.1 MQC] Lv-091.QC Lecture,7/3/2013,2:00 PM,7/3/2013,3:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 QC,7/4/2013,4:00 PM,7/4/2013,5:45 PM,IKohut Lv-091.1 MQC,1002A
[Lv-091.1 MQC] Lv-091.QC Lecture,7/5/2013,2:00 PM,7/5/2013,3:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 QC + expert,7/8/2013,9:00 AM,7/8/2013,10:45 AM,IKohut Lv-091.1 MQC,1002B
[Lv-091.1 MQC] Lv-091.QC Lecture,7/10/2013,11:00 AM,7/10/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 QC,7/11/2013,4:00 PM,7/11/2013,5:45 PM,IKohut Lv-091.1 MQC,1002A
[Lv-091.1 MQC] Lv-091.1 QC + expert,7/15/2013,9:00 AM,7/15/2013,10:45 AM,IKohut Lv-091.1 MQC,1002B
[Lv-091.1 MQC] Lv-091.1 QC Weekly Report,7/17/2013,9:00 AM,7/17/2013,10:45 AM,IKohut Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.QC Lecture,7/17/2013,11:00 AM,7/17/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 QC,7/18/2013,4:00 PM,7/18/2013,5:45 PM,IKohut Lv-091.1 MQC,1002A
[Lv-091.1 MQC] Lv-091.QC Lecture,7/19/2013,11:00 AM,7/19/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 QC + expert,7/22/2013,9:00 AM,7/22/2013,10:45 AM,IKohut Lv-091.1 MQC,1002B
[Lv-091.1 MQC] Lv-091.QC Lecture,7/24/2013,11:00 AM,7/24/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 QC,7/25/2013,4:00 PM,7/25/2013,5:45 PM,IKohut Lv-091.1 MQC,1002A
[Lv-091.1 MQC] Lv-091.QC Lecture,7/26/2013,11:00 AM,7/26/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 QC + expert,7/29/2013,9:00 AM,7/29/2013,10:45 AM,IKohut Lv-091.1 MQC,1002B
[Lv-091.1 MQC] Lv-091.QC Lecture,7/31/2013,11:00 AM,7/31/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 QC,8/1/2013,4:00 PM,8/1/2013,5:45 PM,IKohut Lv-091.1 MQC,1002A
[Lv-091.1 MQC] Lv-091.QC Lecture,8/2/2013,11:00 AM,8/2/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 QC + expert,8/5/2013,9:00 AM,8/5/2013,10:45 AM,IKohut Lv-091.1 MQC,1002B
[Lv-091.1 MQC] Lv-091.QC Lecture,8/7/2013,11:00 AM,8/7/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.QC Lecture,8/9/2013,11:00 AM,8/9/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 QC + expert,8/12/2013,9:00 AM,8/12/2013,10:45 AM,IKohut Lv-091.1 MQC,1002B
[Lv-091.1 MQC] Lv-091.QC Lecture,8/14/2013,11:00 AM,8/14/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Presentation about SoftServe,8/15/2013,5:00 PM,8/15/2013,5:45 PM,Lv-090 Lamp Lv-090. DB Lv-090.Java Lv-091.1 MQC Lv-091.2 MQC Lv-092 UI,
[Lv-091.1 MQC] Lv-091.QC Lecture,8/16/2013,11:00 AM,8/16/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 QC + expert,8/19/2013,9:00 AM,8/19/2013,10:45 AM,IKohut Lv-091.1 MQC,1002B
[Lv-091.1 MQC] Lv-091.1 Dailly Scrum meeting,8/20/2013,2:00 PM,8/20/2013,2:45 PM,IKohut Lv-091.1 MQC,1002A
[Lv-091.1 MQC] Lv-091.1 QC Weekly Report,8/21/2013,9:00 AM,8/21/2013,10:45 AM,IKohut Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.QC Lecture,8/21/2013,11:00 AM,8/21/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 Scrum Planning,8/22/2013,4:00 PM,8/22/2013,4:45 PM,IKohut Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.QC Lecture,8/23/2013,11:00 AM,8/23/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 Dailly Scrum meeting,8/23/2013,3:00 PM,8/23/2013,3:45 PM,IKohut Lv-091.1 MQC,1002A
[Lv-091.1 MQC] Lv-091.1 QC + expert,8/26/2013,9:00 AM,8/26/2013,10:45 AM,IKohut Lv-091.1 MQC,1002B
[Lv-091.1 MQC] Lv-091.1 Dailly Scrum meeting,8/27/2013,2:00 PM,8/27/2013,2:45 PM,IKohut Lv-091.1 MQC,1002A
[Lv-091.1 MQC] Lv-091.1 QC Weekly Report,8/28/2013,9:00 AM,8/28/2013,10:45 AM,IKohut Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.QC Lecture,8/28/2013,11:00 AM,8/28/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 Scrum Planning,8/29/2013,4:00 PM,8/29/2013,4:45 PM,IKohut Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.QC Lecture,8/30/2013,11:00 AM,8/30/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.1 MQC] Lv-091.1 Dailly Scrum meeting,8/30/2013,3:00 PM,8/30/2013,3:45 PM,IKohut Lv-091.1 MQC,1002A
[Lv-091.1 MQC] Lv-091.1 Dailly Scrum meeting,9/3/2013,2:00 PM,9/3/2013,2:45 PM,IKohut Lv-091.1 MQC,1002A
[Lv-091.1 MQC] Lv-091.1 QC Weekly Report,9/4/2013,9:00 AM,9/4/2013,10:45 AM,IKohut Lv-091.1 MQC,4131
[Lv-091.2 MQC] Presentation about SoftServe,6/27/2013,11:00 AM,6/27/2013,11:45 AM,Lv-090 Lamp Lv-090. DB Lv-090.Java Lv-091.1 MQC Lv-091.2 MQC Lv-092 UI,
[Lv-091.2 MQC] Lv-091.QC Lecture,7/3/2013,2:00 PM,7/3/2013,3:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.2 MQC] Lv-091.2 QC,7/4/2013,2:00 PM,7/4/2013,3:45 PM,YHarasym Lv-091.2 MQC,4131
[Lv-091.2 MQC] Lv-091.QC Lecture,7/5/2013,2:00 PM,7/5/2013,3:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.2 MQC] Lv-091.2 QC + expert,7/8/2013,9:00 AM,7/8/2013,10:45 AM,YHarasym Lv-091.2 MQC,1002A
[Lv-091.2 MQC] Lv-091.2 QC Weekly Report,7/10/2013,9:00 AM,7/10/2013,10:45 AM,YHarasym Lv-091.2 MQC,1002B
[Lv-091.2 MQC] Lv-091.QC Lecture,7/10/2013,11:00 AM,7/10/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.2 MQC] Lv-091.2 QC,7/11/2013,2:00 PM,7/11/2013,3:45 PM,YHarasym Lv-091.2 MQC,4131
[Lv-091.2 MQC] Lv-091.2 QC + expert,7/15/2013,9:00 AM,7/15/2013,10:45 AM,YHarasym Lv-091.2 MQC,1002A
[Lv-091.2 MQC] Lv-091.2 QC Weekly Report,7/17/2013,9:00 AM,7/17/2013,10:45 AM,YHarasym Lv-091.2 MQC,1002B
[Lv-091.2 MQC] Lv-091.QC Lecture,7/17/2013,11:00 AM,7/17/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.2 MQC] Lv-091.2 QC,7/18/2013,3:00 PM,7/18/2013,4:45 PM,YHarasym Lv-091.2 MQC,4131
[Lv-091.2 MQC] Lv-091.QC Lecture,7/19/2013,11:00 AM,7/19/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.2 MQC] Lv-091.2 QC + expert,7/22/2013,9:00 AM,7/22/2013,10:45 AM,YHarasym Lv-091.2 MQC,1002A
[Lv-091.2 MQC] Lv-091.2 QC Weekly Report,7/24/2013,9:00 AM,7/24/2013,10:45 AM,YHarasym Lv-091.2 MQC,1002B
[Lv-091.2 MQC] Lv-091.QC Lecture,7/24/2013,11:00 AM,7/24/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.2 MQC] Lv-091.2QC,7/25/2013,2:00 PM,7/25/2013,3:45 PM,YHarasym Lv-091.2 MQC,1002A
[Lv-091.2 MQC] Lv-091.QC Lecture,7/26/2013,11:00 AM,7/26/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.2 MQC] Lv-091.2 QC + expert,7/29/2013,9:00 AM,7/29/2013,10:45 AM,YHarasym Lv-091.2 MQC,1002A
[Lv-091.2 MQC] Lv-091.2 QC Weekly Report,7/31/2013,9:00 AM,7/31/2013,10:45 AM,YHarasym Lv-091.2 MQC,1002B
[Lv-091.2 MQC] Lv-091.QC Lecture,7/31/2013,11:00 AM,7/31/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.2 MQC] Lv-091.2 QC,8/1/2013,2:00 PM,8/1/2013,3:45 PM,YHarasym Lv-091.2 MQC,4131
[Lv-091.2 MQC] Lv-091.QC Lecture,8/2/2013,11:00 AM,8/2/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.2 MQC] Lv-091.2 QC + expert,8/5/2013,9:00 AM,8/5/2013,10:45 AM,YHarasym Lv-091.2 MQC,1002A
[Lv-091.2 MQC] Lv-091.2 QC Weekly Report,8/7/2013,9:00 AM,8/7/2013,10:45 AM,YHarasym Lv-091.2 MQC,1002B
[Lv-091.2 MQC] Lv-091.QC Lecture,8/7/2013,11:00 AM,8/7/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.2 MQC] Lv-091.2 QC Scrum Planning,8/8/2013,1:00 PM,8/8/2013,1:45 PM,YHarasym Lv-091.2 MQC,4131
[Lv-091.2 MQC] Lv-091.2 QC,8/8/2013,2:00 PM,8/8/2013,3:45 PM,YHarasym Lv-091.2 MQC,4131
[Lv-091.2 MQC] Lv-091.QC Lecture,8/9/2013,11:00 AM,8/9/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.2 MQC] Lv-091.2 QC + expert,8/12/2013,9:00 AM,8/12/2013,10:45 AM,YHarasym Lv-091.2 MQC,1002A
[Lv-091.2 MQC] Lv-091.2 QC Daily Scrum Meeting,8/13/2013,11:00 AM,8/13/2013,11:45 AM,YHarasym Lv-091.2 MQC,4132
[Lv-091.2 MQC] Lv-091.2 QC Scrum Overview,8/14/2013,9:00 AM,8/14/2013,10:45 AM,YHarasym Lv-091.2 MQC,1002B
[Lv-091.2 MQC] Lv-091.QC Lecture,8/14/2013,11:00 AM,8/14/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
[Lv-091.2 MQC] Lv-091.2 QC Scrum Planning,8/15/2013,1:00 PM,8/15/2013,1:45 PM,YHarasym Lv-091.2 MQC,4131
[Lv-091.2 MQC] Lv-091.2 QC,8/15/2013,2:00 PM,8/15/2013,3:45 PM,YHarasym Lv-091.2 MQC,4131
[Lv-091.2 MQC] Presentation about SoftServe,8/15/2013,5:00 PM,8/15/2013,5:45 PM,Lv-090 Lamp Lv-090. DB Lv-090.Java Lv-091.1 MQC Lv-091.2 MQC Lv-092 UI,
[Lv-091.2 MQC] Lv-091.2 QC Daily Scrum Meeting,8/16/2013,10:00 AM,8/16/2013,10:45 AM,YHarasym Lv-091.2 MQC,4132
[Lv-091.2 MQC] Lv-091.QC Lecture,8/16/2013,11:00 AM,8/16/2013,12:45 PM,LKlakovych Lv-091.2 MQC Lv-091.1 MQC,4131
